,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
773,"frozenset({'Seatbelt', 'Unscathed', 'Unknown'})","frozenset({'NA', 'Driver', 'Yes'})",0.3348113044450998,0.6475208390536917,0.2936241591779407,0.8769840064527669,1.3543718650575325,0.07682686239898864,2.8653116621861905
774,"frozenset({'Yes', 'Seatbelt', 'Unscathed'})","frozenset({'NA', 'Driver', 'Unknown'})",0.3348113044450998,0.7873602961365971,0.2936241591779407,0.8769840064527669,1.1138280794141304,0.03000703136016658,1.7285533184086175
775,"frozenset({'Seatbelt', 'Yes', 'Unknown'})","frozenset({'NA', 'Driver', 'Unscathed'})",0.5878511452581195,0.37442499805084084,0.2936241591779407,0.4994872622881653,1.3340115240391697,0.07351799526048475,1.2498682946793012
776,"frozenset({'Yes', 'Unscathed', 'Unknown'})","frozenset({'NA', 'Driver', 'Seatbelt'})",0.3561571395157272,0.47017391019404586,0.2936241591779407,0.824423061060032,1.753442807406697,0.12616836424830494,3.0176291545161784
777,"frozenset({'NA', 'Driver'})","frozenset({'Yes', 'Seatbelt', 'Unscathed', 'Unknown'})",0.7873602961365971,0.3348113044450998,0.2936241591779407,0.3729222321962252,1.1138280794141304,0.03000703136016658,1.0607754407951697
778,"frozenset({'Driver', 'Seatbelt'})","frozenset({'NA', 'Yes', 'Unscathed', 'Unknown'})",0.47017391019404586,0.3561565745420606,0.2936241591779407,0.6245011745903953,1.753445588905293,0.1261686298841829,1.7146349918821102
779,"frozenset({'Driver', 'Unscathed'})","frozenset({'NA', 'Seatbelt', 'Yes', 'Unknown'})",0.37442499805084084,0.5878511452581195,0.2936241591779407,0.7842002021939554,1.3340115240391697,0.07351799526048475,1.9098667326477727
780,"frozenset({'Driver', 'Unknown'})","frozenset({'NA', 'Seatbelt', 'Unscathed', 'Yes'})",0.7873602961365971,0.3348113044450998,0.2936241591779407,0.3729222321962252,1.1138280794141304,0.03000703136016658,1.0607754407951697
781,"frozenset({'Driver', 'Yes'})","frozenset({'NA', 'Seatbelt', 'Unscathed', 'Unknown'})",0.6475208390536917,0.3348113044450998,0.2936241591779407,0.4534590108436552,1.3543718650575325,0.07682686239898864,1.2170883954773513
782,"frozenset({'NA', 'Seatbelt'})","frozenset({'Driver', 'Yes', 'Unscathed', 'Unknown'})",0.5878511452581195,0.3099937061933543,0.2936241591779407,0.4994872622881653,1.6112819464038313,0.11139400396936835,1.3785988683546953
783,"frozenset({'NA', 'Unscathed'})","frozenset({'Driver', 'Seatbelt', 'Yes', 'Unknown'})",0.42932235928483375,0.47017391019404586,0.2936241591779407,0.6839246846287265,1.4546206622703999,0.0917679867792574,1.6762653204461766
784,"frozenset({'NA', 'Unknown'})","frozenset({'Driver', 'Seatbelt', 'Unscathed', 'Yes'})",0.9687609110539358,0.2936241591779407,0.2936241591779407,0.303092492510356,1.0322464383003218,0.009172551225272996,1.0135862122744546
785,"frozenset({'NA', 'Yes'})","frozenset({'Driver', 'Seatbelt', 'Unscathed', 'Unknown'})",0.7927800885200741,0.2936241591779407,0.2936241591779407,0.37037277226029347,1.2613838496710412,0.06084477227322055,1.1218953210741407
786,"frozenset({'Seatbelt', 'Unscathed'})","frozenset({'NA', 'Driver', 'Yes', 'Unknown'})",0.3348113044450998,0.6475208390536917,0.2936241591779407,0.8769840064527669,1.3543718650575325,0.07682686239898864,2.8653116621861905
