,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
2678,"frozenset({'male', 'Unknown'})","frozenset({'Alone', '50+_m_Away_from_Crossing', 'Crossing'})",0.47211522358063973,0.09439373639256406,0.052629375314017755,0.11147570060305075,1.180965018054231,0.008064655352430408,1.0192250951629351
2679,frozenset({'50+_m_Away_from_Crossing'}),"frozenset({'male', 'Unknown', 'Alone', 'Crossing'})",0.17434265617149555,0.2846047563222241,0.052629375314017755,0.30187319884726227,1.0606751719408622,0.0030106261377599655,1.0247353954847813
2680,frozenset({'Alone'}),"frozenset({'male', 'Unknown', '50+_m_Away_from_Crossing', 'Crossing'})",0.7677315357561547,0.06345252051582649,0.052629375314017755,0.068551795598942,1.0803636331805548,0.003914874290803366,1.0054745664429021
2681,frozenset({'male'}),"frozenset({'Unknown', 'Alone', '50+_m_Away_from_Crossing', 'Crossing'})",0.47240830681627866,0.09435186735890136,0.052629375314017755,0.11140654081361341,1.1807560775648291,0.008056769410045052,1.0191928865539115
2682,"frozenset({'male', 'Alone', '50+_m_Away_from_Crossing', 'Crossing'})",frozenset({'Pedestrian'}),0.052650309830849104,0.9819335119745436,0.05175012560710099,0.9829025844930418,1.0009869023785016,5.102196834749079e-05,1.0566794740470462
2683,"frozenset({'Pedestrian', 'Alone', '50+_m_Away_from_Crossing', 'Crossing'})",frozenset({'male'}),0.09288645118070675,0.47240830681627866,0.05175012560710099,0.5571331981068289,1.1793467432051319,0.007869794478650383,1.1913100980438531
2684,"frozenset({'Pedestrian', 'male', '50+_m_Away_from_Crossing', 'Crossing'})",frozenset({'Alone'}),0.06242672919109027,0.7677315357561547,0.05175012560710099,0.8289738430583501,1.0797704724241612,0.003823156932991685,1.3580873732846013
2685,"frozenset({'Pedestrian', 'male', 'Alone', 'Crossing'})",frozenset({'50+_m_Away_from_Crossing'}),0.27886869871043374,0.17434265617149555,0.05175012560710099,0.18557165377974627,1.0644076318144717,0.0031314159508354575,1.0137875820019824
2686,"frozenset({'Alone', '50+_m_Away_from_Crossing', 'Crossing'})","frozenset({'Pedestrian', 'male'})",0.09439373639256406,0.4619410484006029,0.05175012560710099,0.5482368596141052,1.1868113074434232,0.008145784055469805,1.1910200357200205
2687,"frozenset({'male', '50+_m_Away_from_Crossing', 'Crossing'})","frozenset({'Pedestrian', 'Alone'})",0.06347345503265785,0.7533285881761849,0.05175012560710099,0.8153034300791556,1.0822680074481341,0.003933757340684296,1.3355495011603702
2688,"frozenset({'Pedestrian', '50+_m_Away_from_Crossing', 'Crossing'})","frozenset({'male', 'Alone'})",0.11417685479819126,0.36446993803383015,0.05175012560710099,0.45324532453245325,1.2435739610721557,0.010136094413906595,1.162367859813377
2689,"frozenset({'Pedestrian', 'Alone', '50+_m_Away_from_Crossing'})","frozenset({'male', 'Crossing'})",0.13130128956623682,0.34996231786970355,0.05175012560710099,0.39413265306122447,1.12621454635572,0.005799621971219623,1.0729043006108472
2690,"frozenset({'male', 'Alone', 'Crossing'})","frozenset({'Pedestrian', '50+_m_Away_from_Crossing'})",0.28468849438954946,0.17097219896164798,0.05175012560710099,0.18177807191705275,1.0632025149178126,0.003076307702238934,1.0132065306300486
2691,"frozenset({'Pedestrian', 'male', 'Crossing'})","frozenset({'Alone', '50+_m_Away_from_Crossing'})",0.3429911237648635,0.13406464578797522,0.05175012560710099,0.15087890625,1.1254190496174266,0.00576714209114499,1.0198019582669504
2692,"frozenset({'Pedestrian', 'male', 'Alone'})","frozenset({'50+_m_Away_from_Crossing', 'Crossing'})",0.35624267291910905,0.11593535421202479,0.05175012560710099,0.14526649820767468,1.2529956819039731,0.010449005136785587,1.0343161276984512
2693,"frozenset({'50+_m_Away_from_Crossing', 'Crossing'})","frozenset({'Pedestrian', 'male', 'Alone'})",0.11593535421202479,0.35624267291910905,0.05175012560710099,0.4463705308775731,1.2529956819039731,0.010449005136785587,1.1627945457840752
2694,"frozenset({'Alone', '50+_m_Away_from_Crossing'})","frozenset({'Pedestrian', 'male', 'Crossing'})",0.13406464578797522,0.3429911237648635,0.05175012560710099,0.3860087445346658,1.1254190496174266,0.00576714209114499,1.0700622694328112
2695,"frozenset({'Pedestrian', '50+_m_Away_from_Crossing'})","frozenset({'male', 'Alone', 'Crossing'})",0.17097219896164798,0.28468849438954946,0.05175012560710099,0.3026815232031346,1.0632025149178126,0.003076307702238934,1.0258031723126513
2696,"frozenset({'male', 'Crossing'})","frozenset({'Pedestrian', 'Alone', '50+_m_Away_from_Crossing'})",0.34996231786970355,0.13130128956623682,0.05175012560710099,0.14787342226476044,1.12621454635572,0.005799621971219623,1.0194479706789201
2697,"frozenset({'male', 'Alone'})","frozenset({'Pedestrian', '50+_m_Away_from_Crossing', 'Crossing'})",0.36446993803383015,0.11417685479819126,0.05175012560710099,0.14198736358414704,1.2435739610721555,0.010136094413906595,1.0324127030367847
2698,"frozenset({'Pedestrian', 'Alone'})","frozenset({'male', '50+_m_Away_from_Crossing', 'Crossing'})",0.7533285881761849,0.06347345503265785,0.05175012560710099,0.06869528970404336,1.0822680074481343,0.003933757340684296,1.0056070098364756
2699,"frozenset({'Pedestrian', 'male'})","frozenset({'Alone', '50+_m_Away_from_Crossing', 'Crossing'})",0.4619410484006029,0.09439373639256406,0.05175012560710099,0.11202755370252879,1.1868113074434232,0.008145784055469805,1.0198585185649527
2700,frozenset({'50+_m_Away_from_Crossing'}),"frozenset({'Pedestrian', 'male', 'Alone', 'Crossing'})",0.17434265617149555,0.27886869871043374,0.05175012560710099,0.29682997118155624,1.064407631814472,0.0031314159508354575,1.0255432850306538
2701,frozenset({'Alone'}),"frozenset({'Pedestrian', 'male', '50+_m_Away_from_Crossing', 'Crossing'})",0.7677315357561547,0.06242672919109027,0.05175012560710099,0.06740653887055872,1.0797704724241615,0.003823156932991685,1.005339743293329
2702,frozenset({'male'}),"frozenset({'Pedestrian', 'Alone', '50+_m_Away_from_Crossing', 'Crossing'})",0.47240830681627866,0.09288645118070675,0.05175012560710099,0.10954533368784898,1.1793467432051319,0.007869794478650383,1.0187082881783702
2703,frozenset({'Pedestrian'}),"frozenset({'male', 'Alone', '50+_m_Away_from_Crossing', 'Crossing'})",0.9819335119745436,0.052650309830849104,0.05175012560710099,0.05270227054685002,1.0009869023785016,5.102196834749079e-05,1.0000548515154057
